試行,bh,bc,hloss,cop_shift,cool_a,defrost_f,最高の県,最高円,最安の県,最安円,倍率,札幌円,東京円,札幌_効率一定円,過小評価%,東京の順位,上位5は北海道と東北か
507,20.0,23.0,200.0,1.15,4.3,0.95,北海道,192436,宮崎県,50061,3.84,192436,84232,156434,18.7,24,はい
508,20.0,23.0,200.0,1.15,5.0,0.78,北海道,217465,宮崎県,47131,4.61,217465,80855,156042,28.2,24,はい
509,20.0,23.0,200.0,1.15,5.0,0.85,北海道,205766,宮崎県,47131,4.37,205766,80855,156042,24.2,24,はい
510,20.0,23.0,200.0,1.15,5.0,0.95,北海道,192044,宮崎県,47131,4.07,192044,80855,156042,18.7,24,はい
511,20.0,23.0,200.0,1.15,5.7,0.78,北海道,217170,鹿児島県,44694,4.86,217170,78374,155748,28.3,23,はい
512,20.0,23.0,200.0,1.15,5.7,0.85,北海道,205471,鹿児島県,44694,4.6,205471,78374,155748,24.2,23,はい
513,20.0,23.0,200.0,1.15,5.7,0.95,北海道,191749,鹿児島県,44694,4.29,191749,78374,155748,18.8,23,はい
514,20.0,23.0,234.6,0.85,4.3,0.78,北海道,344596,鹿児島県,71225,4.84,344596,124536,247118,28.3,23,はい
515,20.0,23.0,234.6,0.85,4.3,0.85,北海道,326030,鹿児島県,71225,4.58,326030,124536,247118,24.2,23,はい
516,20.0,23.0,234.6,0.85,4.3,0.95,北海道,304253,鹿児島県,71225,4.27,304253,124536,247118,18.8,23,はい
517,20.0,23.0,234.6,0.85,5.0,0.78,北海道,344136,沖縄県,64837,5.31,344136,120575,246658,28.3,23,はい
518,20.0,23.0,234.6,0.85,5.0,0.85,北海道,325570,沖縄県,64837,5.02,325570,120575,246658,24.2,23,はい
519,20.0,23.0,234.6,0.85,5.0,0.95,北海道,303793,沖縄県,64837,4.69,303793,120575,246658,18.8,23,はい
520,20.0,23.0,234.6,0.85,5.7,0.78,北海道,343791,沖縄県,57288,6.0,343791,117665,246313,28.4,23,はい
521,20.0,23.0,234.6,0.85,5.7,0.85,北海道,325225,沖縄県,57288,5.68,325225,117665,246313,24.3,23,はい
522,20.0,23.0,234.6,0.85,5.7,0.95,北海道,303448,沖縄県,57288,5.3,303448,117665,246313,18.8,23,はい
523,20.0,23.0,234.6,1.0,4.3,0.78,北海道,293392,宮崎県,64195,4.57,293392,109740,210536,28.2,24,はい
524,20.0,23.0,234.6,1.0,4.3,0.85,北海道,277611,宮崎県,64195,4.32,277611,109740,210536,24.2,24,はい
525,20.0,23.0,234.6,1.0,4.3,0.95,北海道,259101,宮崎県,64195,4.04,259101,109740,210536,18.7,24,はい
526,20.0,23.0,234.6,1.0,5.0,0.78,北海道,292933,鹿児島県,60395,4.85,292933,105779,210076,28.3,23,はい
527,20.0,23.0,234.6,1.0,5.0,0.85,北海道,277151,鹿児島県,60395,4.59,277151,105779,210076,24.2,23,はい
528,20.0,23.0,234.6,1.0,5.0,0.95,北海道,258641,鹿児島県,60395,4.28,258641,105779,210076,18.8,23,はい
529,20.0,23.0,234.6,1.0,5.7,0.78,北海道,292587,沖縄県,56023,5.22,292587,102869,209731,28.3,23,はい
530,20.0,23.0,234.6,1.0,5.7,0.85,北海道,276806,沖縄県,56023,4.94,276806,102869,209731,24.2,23,はい
531,20.0,23.0,234.6,1.0,5.7,0.95,北海道,258295,沖縄県,56023,4.61,258295,102869,209731,18.8,23,はい
532,20.0,23.0,234.6,1.15,4.3,0.78,北海道,255546,宮崎県,58722,4.35,255546,98804,183497,28.2,24,はい
533,20.0,23.0,234.6,1.15,4.3,0.85,北海道,241823,宮崎県,58722,4.12,241823,98804,183497,24.1,24,はい
534,20.0,23.0,234.6,1.15,4.3,0.95,北海道,225727,宮崎県,58722,3.84,225727,98804,183497,18.7,24,はい
535,20.0,23.0,234.6,1.15,5.0,0.78,北海道,255086,宮崎県,55284,4.61,255086,94843,183037,28.2,24,はい
536,20.0,23.0,234.6,1.15,5.0,0.85,北海道,241363,宮崎県,55284,4.37,241363,94843,183037,24.2,24,はい
537,20.0,23.0,234.6,1.15,5.0,0.95,北海道,225267,宮崎県,55284,4.07,225267,94843,183037,18.7,24,はい
538,20.0,23.0,234.6,1.15,5.7,0.78,北海道,254741,鹿児島県,52426,4.86,254741,91933,182692,28.3,23,はい
539,20.0,23.0,234.6,1.15,5.7,0.85,北海道,241018,鹿児島県,52426,4.6,241018,91933,182692,24.2,23,はい
540,20.0,23.0,234.6,1.15,5.7,0.95,北海道,224922,鹿児島県,52426,4.29,224922,91933,182692,18.8,23,はい
541,20.0,23.0,270.0,0.85,4.3,0.78,北海道,396594,鹿児島県,81972,4.84,396594,143328,284407,28.3,23,はい
542,20.0,23.0,270.0,0.85,4.3,0.85,北海道,375226,鹿児島県,81972,4.58,375226,143328,284407,24.2,23,はい
543,20.0,23.0,270.0,0.85,4.3,0.95,北海道,350163,鹿児島県,81972,4.27,350163,143328,284407,18.8,23,はい
544,20.0,23.0,270.0,0.85,5.0,0.78,北海道,396065,沖縄県,74620,5.31,396065,138769,283878,28.3,23,はい
545,20.0,23.0,270.0,0.85,5.0,0.85,北海道,374697,沖縄県,74620,5.02,374697,138769,283878,24.2,23,はい
546,20.0,23.0,270.0,0.85,5.0,0.95,北海道,349634,沖縄県,74620,4.69,349634,138769,283878,18.8,23,はい
547,20.0,23.0,270.0,0.85,5.7,0.78,北海道,395667,沖縄県,65932,6.0,395667,135420,283480,28.4,23,はい
548,20.0,23.0,270.0,0.85,5.7,0.85,北海道,374299,沖縄県,65932,5.68,374299,135420,283480,24.3,23,はい
549,20.0,23.0,270.0,0.85,5.7,0.95,北海道,349236,沖縄県,65932,5.3,349236,135420,283480,18.8,23,はい
550,20.0,23.0,270.0,1.0,4.3,0.78,北海道,337664,宮崎県,73881,4.57,337664,126300,242305,28.2,24,はい
551,20.0,23.0,270.0,1.0,4.3,0.85,北海道,319501,宮崎県,73881,4.32,319501,126300,242305,24.2,24,はい
552,20.0,23.0,270.0,1.0,4.3,0.95,北海道,298198,宮崎県,73881,4.04,298198,126300,242305,18.7,24,はい
553,20.0,23.0,270.0,1.0,5.0,0.78,北海道,337135,鹿児島県,69509,4.85,337135,121740,241776,28.3,23,はい
554,20.0,23.0,270.0,1.0,5.0,0.85,北海道,318972,鹿児島県,69509,4.59,318972,121740,241776,24.2,23,はい
555,20.0,23.0,270.0,1.0,5.0,0.95,北海道,297669,鹿児島県,69509,4.28,297669,121740,241776,18.8,23,はい
556,20.0,23.0,270.0,1.0,5.7,0.78,北海道,336737,沖縄県,64476,5.22,336737,118392,241378,28.3,23,はい
557,20.0,23.0,270.0,1.0,5.7,0.85,北海道,318574,沖縄県,64476,4.94,318574,118392,241378,24.2,23,はい
558,20.0,23.0,270.0,1.0,5.7,0.95,北海道,297271,沖縄県,64476,4.61,297271,118392,241378,18.8,23,はい
559,20.0,23.0,270.0,1.15,4.3,0.78,北海道,294107,宮崎県,67582,4.35,294107,113713,211186,28.2,24,はい
560,20.0,23.0,270.0,1.15,4.3,0.85,北海道,278313,宮崎県,67582,4.12,278313,113713,211186,24.1,24,はい
561,20.0,23.0,270.0,1.15,4.3,0.95,北海道,259788,宮崎県,67582,3.84,259788,113713,211186,18.7,24,はい
562,20.0,23.0,270.0,1.15,5.0,0.78,北海道,293578,宮崎県,63626,4.61,293578,109154,210657,28.2,24,はい
563,20.0,23.0,270.0,1.15,5.0,0.85,北海道,277784,宮崎県,63626,4.37,277784,109154,210657,24.2,24,はい
564,20.0,23.0,270.0,1.15,5.0,0.95,北海道,259259,宮崎県,63626,4.07,259259,109154,210657,18.7,24,はい
565,20.0,23.0,270.0,1.15,5.7,0.78,北海道,293180,鹿児島県,60337,4.86,293180,105805,210259,28.3,23,はい
566,20.0,23.0,270.0,1.15,5.7,0.85,北海道,277387,鹿児島県,60337,4.6,277387,105805,210259,24.2,23,はい
567,20.0,23.0,270.0,1.15,5.7,0.95,北海道,258862,鹿児島県,60337,4.29,258862,105805,210259,18.8,23,はい
568,20.0,24.0,200.0,0.85,4.3,0.78,北海道,292149,沖縄県,51948,5.62,292149,101594,209048,28.4,23,はい
569,20.0,24.0,200.0,0.85,4.3,0.85,北海道,276321,沖縄県,51948,5.32,276321,101594,209048,24.3,23,はい
570,20.0,24.0,200.0,0.85,4.3,0.95,北海道,257756,沖縄県,51948,4.96,257756,101594,209048,18.9,23,はい
571,20.0,24.0,200.0,0.85,5.0,0.78,北海道,291988,沖縄県,44991,6.49,291988,98911,208887,28.5,23,はい
572,20.0,24.0,200.0,0.85,5.0,0.85,北海道,276160,沖縄県,44991,6.14,276160,98911,208887,24.4,23,はい
573,20.0,24.0,200.0,0.85,5.0,0.95,北海道,257595,沖縄県,44991,5.73,257595,98911,208887,18.9,23,はい
574,20.0,24.0,200.0,0.85,5.7,0.78,北海道,291867,沖縄県,39907,7.31,291867,96942,208765,28.5,23,はい
575,20.0,24.0,200.0,0.85,5.7,0.85,北海道,276039,沖縄県,39907,6.92,276039,96942,208765,24.4,23,はい
