試行,bh,bc,hloss,cop_shift,cool_a,defrost_f,最高の県,最高円,最安の県,最安円,倍率,札幌円,東京円,札幌_効率一定円,過小評価%,東京の順位,上位5は北海道と東北か
633,20.0,24.0,270.0,1.0,4.3,0.95,北海道,296006,鹿児島県,67475,4.39,296006,120124,240113,18.9,24,はい
634,20.0,24.0,270.0,1.0,5.0,0.78,北海道,335254,沖縄県,59282,5.66,335254,116502,239895,28.4,23,はい
635,20.0,24.0,270.0,1.0,5.0,0.85,北海道,317091,沖縄県,59282,5.35,317091,116502,239895,24.3,23,はい
636,20.0,24.0,270.0,1.0,5.0,0.95,北海道,295788,沖縄県,59282,4.99,295788,116502,239895,18.9,23,はい
637,20.0,24.0,270.0,1.0,5.7,0.78,北海道,335090,沖縄県,52418,6.39,335090,113843,239731,28.5,23,はい
638,20.0,24.0,270.0,1.0,5.7,0.85,北海道,316927,沖縄県,52418,6.05,316927,113843,239731,24.4,23,はい
639,20.0,24.0,270.0,1.0,5.7,0.95,北海道,295624,沖縄県,52418,5.64,295624,113843,239731,18.9,23,はい
640,20.0,24.0,270.0,1.15,4.3,0.78,北海道,291915,鹿児島県,61995,4.71,291915,107538,208994,28.4,24,はい
641,20.0,24.0,270.0,1.15,4.3,0.85,北海道,276121,鹿児島県,61995,4.45,276121,107538,208994,24.3,24,はい
642,20.0,24.0,270.0,1.15,4.3,0.95,北海道,257596,鹿児島県,61995,4.16,257596,107538,208994,18.9,24,はい
643,20.0,24.0,270.0,1.15,5.0,0.78,北海道,291697,鹿児島県,58017,5.03,291697,103916,208776,28.4,24,はい
644,20.0,24.0,270.0,1.15,5.0,0.85,北海道,275903,鹿児島県,58017,4.76,275903,103916,208776,24.3,24,はい
645,20.0,24.0,270.0,1.15,5.0,0.95,北海道,257378,鹿児島県,58017,4.44,257378,103916,208776,18.9,24,はい
646,20.0,24.0,270.0,1.15,5.7,0.78,北海道,291533,沖縄県,51341,5.68,291533,101257,208612,28.4,23,はい
647,20.0,24.0,270.0,1.15,5.7,0.85,北海道,275740,沖縄県,51341,5.37,275740,101257,208612,24.3,23,はい
648,20.0,24.0,270.0,1.15,5.7,0.95,北海道,257215,沖縄県,51341,5.01,257215,101257,208612,18.9,23,はい
649,20.0,26.0,200.0,0.85,4.3,0.78,北海道,291013,沖縄県,32815,8.87,291013,92445,207911,28.6,23,はい
650,20.0,26.0,200.0,0.85,4.3,0.85,北海道,275185,沖縄県,32815,8.39,275185,92445,207911,24.4,23,はい
651,20.0,26.0,200.0,0.85,4.3,0.95,北海道,256620,沖縄県,32815,7.82,256620,92445,207911,19.0,23,はい
652,20.0,26.0,200.0,0.85,5.0,0.78,北海道,291013,沖縄県,28815,10.1,291013,91150,207911,28.6,23,はい
653,20.0,26.0,200.0,0.85,5.0,0.85,北海道,275185,沖縄県,28815,9.55,275185,91150,207911,24.4,23,はい
654,20.0,26.0,200.0,0.85,5.0,0.95,北海道,256620,沖縄県,28815,8.91,256620,91150,207911,19.0,23,はい
655,20.0,26.0,200.0,0.85,5.7,0.78,北海道,291013,沖縄県,25895,11.24,291013,90203,207911,28.6,23,はい
656,20.0,26.0,200.0,0.85,5.7,0.85,北海道,275185,沖縄県,25895,10.63,275185,90203,207911,24.4,23,はい
657,20.0,26.0,200.0,0.85,5.7,0.95,北海道,256620,沖縄県,25895,9.91,256620,90203,207911,19.0,23,はい
658,20.0,26.0,200.0,1.0,4.3,0.78,北海道,247361,沖縄県,31736,7.79,247361,79832,176725,28.6,24,はい
659,20.0,26.0,200.0,1.0,4.3,0.85,北海道,233907,沖縄県,31736,7.37,233907,79832,176725,24.4,24,はい
660,20.0,26.0,200.0,1.0,4.3,0.95,北海道,218127,沖縄県,31736,6.87,218127,79832,176725,19.0,24,はい
661,20.0,26.0,200.0,1.0,5.0,0.78,北海道,247361,沖縄県,27736,8.92,247361,78537,176725,28.6,23,はい
662,20.0,26.0,200.0,1.0,5.0,0.85,北海道,233907,沖縄県,27736,8.43,233907,78537,176725,24.4,23,はい
663,20.0,26.0,200.0,1.0,5.0,0.95,北海道,218127,沖縄県,27736,7.86,218127,78537,176725,19.0,23,はい
664,20.0,26.0,200.0,1.0,5.7,0.78,北海道,247361,沖縄県,24816,9.97,247361,77590,176725,28.6,23,はい
665,20.0,26.0,200.0,1.0,5.7,0.85,北海道,233907,沖縄県,24816,9.43,233907,77590,176725,24.4,23,はい
666,20.0,26.0,200.0,1.0,5.7,0.95,北海道,218127,沖縄県,24816,8.79,218127,77590,176725,19.0,23,はい
667,20.0,26.0,200.0,1.15,4.3,0.78,北海道,215096,沖縄県,30939,6.95,215096,70509,153674,28.6,24,はい
668,20.0,26.0,200.0,1.15,4.3,0.85,北海道,203397,沖縄県,30939,6.57,203397,70509,153674,24.4,24,はい
669,20.0,26.0,200.0,1.15,4.3,0.95,北海道,189675,沖縄県,30939,6.13,189675,70509,153674,19.0,24,はい
670,20.0,26.0,200.0,1.15,5.0,0.78,北海道,215096,沖縄県,26939,7.98,215096,69214,153674,28.6,23,はい
671,20.0,26.0,200.0,1.15,5.0,0.85,北海道,203397,沖縄県,26939,7.55,203397,69214,153674,24.4,23,はい
672,20.0,26.0,200.0,1.15,5.0,0.95,北海道,189675,沖縄県,26939,7.04,189675,69214,153674,19.0,23,はい
673,20.0,26.0,200.0,1.15,5.7,0.78,北海道,215096,沖縄県,24019,8.96,215096,68266,153674,28.6,23,はい
674,20.0,26.0,200.0,1.15,5.7,0.85,北海道,203397,沖縄県,24019,8.47,203397,68266,153674,24.4,23,はい
675,20.0,26.0,200.0,1.15,5.7,0.95,北海道,189675,沖縄県,24019,7.9,189675,68266,153674,19.0,23,はい
676,20.0,26.0,234.6,0.85,4.3,0.78,北海道,341358,沖縄県,38491,8.87,341358,108438,243880,28.6,23,はい
677,20.0,26.0,234.6,0.85,4.3,0.85,北海道,322792,沖縄県,38491,8.39,322792,108438,243880,24.4,23,はい
678,20.0,26.0,234.6,0.85,4.3,0.95,北海道,301015,沖縄県,38491,7.82,301015,108438,243880,19.0,23,はい
679,20.0,26.0,234.6,0.85,5.0,0.78,北海道,341358,沖縄県,33799,10.1,341358,106919,243880,28.6,23,はい
680,20.0,26.0,234.6,0.85,5.0,0.85,北海道,322792,沖縄県,33799,9.55,322792,106919,243880,24.4,23,はい
681,20.0,26.0,234.6,0.85,5.0,0.95,北海道,301015,沖縄県,33799,8.91,301015,106919,243880,19.0,23,はい
682,20.0,26.0,234.6,0.85,5.7,0.78,北海道,341358,沖縄県,30375,11.24,341358,105808,243880,28.6,23,はい
683,20.0,26.0,234.6,0.85,5.7,0.85,北海道,322792,沖縄県,30375,10.63,322792,105808,243880,24.4,23,はい
684,20.0,26.0,234.6,0.85,5.7,0.95,北海道,301015,沖縄県,30375,9.91,301015,105808,243880,19.0,23,はい
685,20.0,26.0,234.6,1.0,4.3,0.78,北海道,290154,沖縄県,37226,7.79,290154,93643,207298,28.6,24,はい
686,20.0,26.0,234.6,1.0,4.3,0.85,北海道,274373,沖縄県,37226,7.37,274373,93643,207298,24.4,24,はい
687,20.0,26.0,234.6,1.0,4.3,0.95,北海道,255863,沖縄県,37226,6.87,255863,93643,207298,19.0,24,はい
688,20.0,26.0,234.6,1.0,5.0,0.78,北海道,290154,沖縄県,32534,8.92,290154,92124,207298,28.6,23,はい
689,20.0,26.0,234.6,1.0,5.0,0.85,北海道,274373,沖縄県,32534,8.43,274373,92124,207298,24.4,23,はい
690,20.0,26.0,234.6,1.0,5.0,0.95,北海道,255863,沖縄県,32534,7.86,255863,92124,207298,19.0,23,はい
691,20.0,26.0,234.6,1.0,5.7,0.78,北海道,290154,沖縄県,29110,9.97,290154,91013,207298,28.6,23,はい
692,20.0,26.0,234.6,1.0,5.7,0.85,北海道,274373,沖縄県,29110,9.43,274373,91013,207298,24.4,23,はい
693,20.0,26.0,234.6,1.0,5.7,0.95,北海道,255863,沖縄県,29110,8.79,255863,91013,207298,19.0,23,はい
694,20.0,26.0,234.6,1.15,4.3,0.78,北海道,252308,沖縄県,36291,6.95,252308,82707,180259,28.6,24,はい
695,20.0,26.0,234.6,1.15,4.3,0.85,北海道,238585,沖縄県,36291,6.57,238585,82707,180259,24.4,24,はい
696,20.0,26.0,234.6,1.15,4.3,0.95,北海道,222489,沖縄県,36291,6.13,222489,82707,180259,19.0,24,はい
697,20.0,26.0,234.6,1.15,5.0,0.78,北海道,252308,沖縄県,31599,7.98,252308,81188,180259,28.6,23,はい
698,20.0,26.0,234.6,1.15,5.0,0.85,北海道,238585,沖縄県,31599,7.55,238585,81188,180259,24.4,23,はい
699,20.0,26.0,234.6,1.15,5.0,0.95,北海道,222489,沖縄県,31599,7.04,222489,81188,180259,19.0,23,はい
700,20.0,26.0,234.6,1.15,5.7,0.78,北海道,252308,沖縄県,28174,8.96,252308,80076,180259,28.6,23,はい
701,20.0,26.0,234.6,1.15,5.7,0.85,北海道,238585,沖縄県,28174,8.47,238585,80076,180259,24.4,23,はい
702,20.0,26.0,234.6,1.15,5.7,0.95,北海道,222489,沖縄県,28174,7.9,222489,80076,180259,19.0,23,はい
703,20.0,26.0,270.0,0.85,4.3,0.78,北海道,392867,沖縄県,44300,8.87,392867,124801,280680,28.6,23,はい
704,20.0,26.0,270.0,0.85,4.3,0.85,北海道,371500,沖縄県,44300,8.39,371500,124801,280680,24.4,23,はい
705,20.0,26.0,270.0,0.85,4.3,0.95,北海道,346437,沖縄県,44300,7.82,346437,124801,280680,19.0,23,はい
706,20.0,26.0,270.0,0.85,5.0,0.78,北海道,392867,沖縄県,38900,10.1,392867,123053,280680,28.6,23,はい
707,20.0,26.0,270.0,0.85,5.0,0.85,北海道,371500,沖縄県,38900,9.55,371500,123053,280680,24.4,23,はい
708,20.0,26.0,270.0,0.85,5.0,0.95,北海道,346437,沖縄県,38900,8.91,346437,123053,280680,19.0,23,はい
709,20.0,26.0,270.0,0.85,5.7,0.78,北海道,392867,沖縄県,34958,11.24,392867,121774,280680,28.6,23,はい
710,20.0,26.0,270.0,0.85,5.7,0.85,北海道,371500,沖縄県,34958,10.63,371500,121774,280680,24.4,23,はい
711,20.0,26.0,270.0,0.85,5.7,0.95,北海道,346437,沖縄県,34958,9.91,346437,121774,280680,19.0,23,はい
712,20.0,26.0,270.0,1.0,4.3,0.78,北海道,333937,沖縄県,42843,7.79,333937,107773,238578,28.6,24,はい
713,20.0,26.0,270.0,1.0,4.3,0.85,北海道,315775,沖縄県,42843,7.37,315775,107773,238578,24.4,24,はい
714,20.0,26.0,270.0,1.0,4.3,0.95,北海道,294471,沖縄県,42843,6.87,294471,107773,238578,19.0,24,はい
715,20.0,26.0,270.0,1.0,5.0,0.78,北海道,333937,沖縄県,37443,8.92,333937,106025,238578,28.6,23,はい
716,20.0,26.0,270.0,1.0,5.0,0.85,北海道,315775,沖縄県,37443,8.43,315775,106025,238578,24.4,23,はい
717,20.0,26.0,270.0,1.0,5.0,0.95,北海道,294471,沖縄県,37443,7.86,294471,106025,238578,19.0,23,はい
718,20.0,26.0,270.0,1.0,5.7,0.78,北海道,333937,沖縄県,33502,9.97,333937,104746,238578,28.6,23,はい
719,20.0,26.0,270.0,1.0,5.7,0.85,北海道,315775,沖縄県,33502,9.43,315775,104746,238578,24.4,23,はい
720,20.0,26.0,270.0,1.0,5.7,0.95,北海道,294471,沖縄県,33502,8.79,294471,104746,238578,19.0,23,はい
721,20.0,26.0,270.0,1.15,4.3,0.78,北海道,290380,沖縄県,41767,6.95,290380,95187,207459,28.6,24,はい
722,20.0,26.0,270.0,1.15,4.3,0.85,北海道,274587,沖縄県,41767,6.57,274587,95187,207459,24.4,24,はい
723,20.0,26.0,270.0,1.15,4.3,0.95,北海道,256062,沖縄県,41767,6.13,256062,95187,207459,19.0,24,はい
724,20.0,26.0,270.0,1.15,5.0,0.78,北海道,290380,沖縄県,36367,7.98,290380,93438,207459,28.6,23,はい
725,20.0,26.0,270.0,1.15,5.0,0.85,北海道,274587,沖縄県,36367,7.55,274587,93438,207459,24.4,23,はい
726,20.0,26.0,270.0,1.15,5.0,0.95,北海道,256062,沖縄県,36367,7.04,256062,93438,207459,19.0,23,はい
727,20.0,26.0,270.0,1.15,5.7,0.78,北海道,290380,沖縄県,32426,8.96,290380,92160,207459,28.6,23,はい
728,20.0,26.0,270.0,1.15,5.7,0.85,北海道,274587,沖縄県,32426,8.47,274587,92160,207459,24.4,23,はい
729,20.0,26.0,270.0,1.15,5.7,0.95,北海道,256062,沖縄県,32426,7.9,256062,92160,207459,19.0,23,はい
